logId,actorId,role,action,targetType,targetId,timestamp,details
LOG-364B2846,ADM-22902DBE,ADMIN,LOGIN_SUCCESS,User,ADM-22902DBE,2026-03-17T17:29:46.930435500,User logged in.
LOG-AD57645A,ADM-22902DBE,ADMIN,LOGOUT,User,ADM-22902DBE,2026-03-17T17:30:31.649854200,User logged out.
LOG-32ED8991,SYSTEM,ADMIN,REGISTER,User,OFF-01BA9794,2026-03-17T17:31:13.984268,New user registered.
LOG-807BCCD4,OFF-01BA9794,OFFICER,LOGIN_SUCCESS,User,OFF-01BA9794,2026-03-17T17:31:29.569592700,User logged in.
LOG-5586ADFA,OFF-01BA9794,OFFICER,SAVE_MARKET_PRICE,MarketPrice,MRK-C998C51A,2026-03-17T17:34:06.884687600,Market price saved.
LOG-31559976,OFF-01BA9794,OFFICER,SAVE_MARKET_PRICE,MarketPrice,MRK-183D495D,2026-03-17T17:34:16.402585,Market price saved.
LOG-0BDB28E2,OFF-01BA9794,OFFICER,SAVE_MARKET_PRICE,MarketPrice,MRK-563B0406,2026-03-17T17:34:21.501474600,Market price saved.
LOG-C03138C8,OFF-01BA9794,OFFICER,SAVE_WEATHER_ALERT,WeatherAlert,ALT-2B14C690,2026-03-17T17:35:00.736273800,Weather alert saved.
LOG-633AB9A3,OFF-01BA9794,OFFICER,LOGOUT,User,OFF-01BA9794,2026-03-17T17:35:19.683135800,User logged out.
LOG-1DB1AA60,SYSTEM,ADMIN,REGISTER,User,FRM-5C45D7FB,2026-03-17T17:35:55.508855200,New user registered.
LOG-49FC13F5,FRM-5C45D7FB,FARMER,LOGIN_SUCCESS,User,FRM-5C45D7FB,2026-03-17T17:36:08.897190100,User logged in.
LOG-21B09459,FRM-5C45D7FB,FARMER,DEACTIVATE_USER,User,FRM-5C45D7FB,2026-03-17T17:36:17.844697500,User deactivated.
LOG-74D25512,FRM-5C45D7FB,FARMER,DEACTIVATE_USER,User,FRM-5C45D7FB,2026-03-17T17:36:18.679497200,User deactivated.
LOG-9C4A27DC,FRM-5C45D7FB,FARMER,DEACTIVATE_USER,User,FRM-5C45D7FB,2026-03-17T17:36:19.810989600,User deactivated.
LOG-684767CF,FRM-5C45D7FB,FARMER,DEACTIVATE_USER,User,FRM-5C45D7FB,2026-03-17T17:36:22.230702900,User deactivated.
LOG-1F65A5D6,OFF-01BA9794,OFFICER,LOGIN_SUCCESS,User,OFF-01BA9794,2026-03-17T17:41:38.183466600,User logged in.
LOG-97FC8B33,OFF-01BA9794,OFFICER,DEACTIVATE_USER,User,FRM-5C45D7FB,2026-03-17T17:42:07.729154,User deactivated.
LOG-60DB0812,OFF-01BA9794,OFFICER,LOGIN_SUCCESS,User,OFF-01BA9794,2026-03-17T17:45:08.148219600,User logged in.
LOG-5E4DEFCF,OFF-01BA9794,OFFICER,REACTIVATE_USER,User,FRM-5C45D7FB,2026-03-17T17:45:16.026923200,User reactivated.
LOG-F4E6FCEB,OFF-01BA9794,OFFICER,DEACTIVATE_USER,User,FRM-5C45D7FB,2026-03-17T17:45:17.617703200,User deactivated.
LOG-1526534D,OFF-01BA9794,OFFICER,REACTIVATE_USER,User,FRM-5C45D7FB,2026-03-17T17:45:18.391312700,User reactivated.
LOG-4D5C434C,OFF-01BA9794,OFFICER,LOGOUT,User,OFF-01BA9794,2026-03-17T17:45:28.507564300,User logged out.
LOG-245CC515,FRM-5C45D7FB,FARMER,LOGIN_SUCCESS,User,FRM-5C45D7FB,2026-03-17T17:45:38.370997600,User logged in.
LOG-88394F4E,FRM-5C45D7FB,FARMER,CREATE_FARM,Farm,FRM-01A2CDA3,2026-03-17T17:46:37.691142700,Farm created.
LOG-7DBD6845,FRM-5C45D7FB,FARMER,CREATE_PLOT,Plot,PLT-00F22087,2026-03-17T17:47:09.701255400,Plot created.
LOG-24B3CB8E,FRM-5C45D7FB,FARMER,LOGOUT,User,FRM-5C45D7FB,2026-03-17T17:47:30.158065800,User logged out.
LOG-D79B36D4,ADM-22902DBE,ADMIN,LOGIN_FAIL,User,ADM-22902DBE,2026-03-17T17:54:04.965023800,Invalid password.
LOG-FDD49816,ADM-22902DBE,ADMIN,LOGIN_SUCCESS,User,ADM-22902DBE,2026-03-17T17:54:12.687167700,User logged in.
